id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<China NP period1>	weight<China NP period2>	weight<China NP period3>	weight<China NP period4>	weight<China NP R10 period1>	weight<China NP R10 period2>	weight<China NP R10 period3>	weight<China NP R10 period4>	weight<China NP R001 period1>	weight<China NP R001 period2>	weight<China NP R001 period3>	weight<China NP R001 period4>	weight<USA NP period1>	weight<USA NP period2>	weight<USA NP period3>	weight<USA NP period4>	weight<USA NP R10 period1>	weight<USA NP R10 period2>	weight<USA NP R10 period3>	weight<USA NP R10 period4>	weight<USA NP R001 period1>	weight<USA NP R001 period2>	weight<USA NP R001 period3>	weight<USA NP R001 period4>	weight<Japan NP period1>	weight<Japan NP period2>	weight<Japan NP period3>	weight<Japan NP period4>	weight<Japan NP R10 period1>	weight<Japan NP R10 period2>	weight<Japan NP R10 period3>	weight<Japan NP R10 period4>	weight<Japan NP R001 period1>	weight<Japan NP R001 period2>	weight<Japan NP R001 period3>	weight<Japan NP R001 period4>	weight<Germany NP period1>	weight<Germany NP period2>	weight<Germany NP period3>	weight<Germany NP period4>	weight<Germany NP R10 period1>	weight<Germany NP R10 period2>	weight<Germany NP R10 period3>	weight<Germany NP R10 period4>	weight<Germany NP R001 period1>	weight<Germany NP R001 period2>	weight<Germany NP R001 period3>	weight<Germany NP R001 period4>	weight<South Korea NP period1>	weight<South Korea NP period2>	weight<South Korea NP period3>	weight<South Korea NP period4>	weight<South Korea NP R10 period1>	weight<South Korea NP R10 period2>	weight<South Korea NP R10 period3>	weight<South Korea NP R10 period4>	weight<South Korea NP R001 period1>	weight<South Korea NP R001 period2>	weight<South Korea NP R001 period3>	weight<South Korea NP R001 period4>	weight<United Kingdom NP period1>	weight<United Kingdom NP period2>	weight<United Kingdom NP period3>	weight<United Kingdom NP period4>	weight<United Kingdom NP R10 period1>	weight<United Kingdom NP R10 period2>	weight<United Kingdom NP R10 period3>	weight<United Kingdom NP R10 period4>	weight<United Kingdom NP R001 period1>	weight<United Kingdom NP R001 period2>	weight<United Kingdom NP R001 period3>	weight<United Kingdom NP R001 period4>	weight<Taiwan NP period1>	weight<Taiwan NP period2>	weight<Taiwan NP period3>	weight<Taiwan NP period4>	weight<Taiwan NP R10 period1>	weight<Taiwan NP R10 period2>	weight<Taiwan NP R10 period3>	weight<Taiwan NP R10 period4>	weight<Taiwan NP R001 period1>	weight<Taiwan NP R001 period2>	weight<Taiwan NP R001 period3>	weight<Taiwan NP R001 period4>	weight<NP focus2 sum period1>	weight<NP R10 focus2 sum period1>	weight<NP R001 focus2 sum period1>	weight<NP focus2 sum period2>	weight<NP R10 focus2 sum period2>	weight<NP R001 focus2 sum period2>	weight<NP focus2 sum period3>	weight<NP R10 focus2 sum period3>	weight<NP R001 focus2 sum period3>	weight<NP focus2 sum period4>	weight<NP R10 focus2 sum period4>	weight<NP R001 focus2 sum period4>	weight<NP ALL>	score<ratio NP period1>	score<ratio NP R10 period1>	score<ratio NP R001 period1>	score<ratio NP period2>	score<ratio NP R10 period2>	score<ratio NP R001 period2>	score<ratio NP period3>	score<ratio NP R10 period3>	score<ratio NP R001 period3>	score<ratio NP period4>	score<ratio NP R10 period4>	score<ratio NP R001 period4>	score<diff top10 period1>	score<diff top10 period2>	score<diff top10 period3>	score<diff top10 period4>	score<diff top1 period1>	score<diff top1 period2>	score<diff top1 period3>	score<diff top1 period4>	score<avgyr>
Digital Filters	1.4176	-0.0754	2	99	60.7099	92	105	112	175	11.95	5	4.2	19.7667	0	1	0	3.7	195	133	96	67	24.15	9.8	10.65	8.8	3.68	3.55	1	2	169	86	51	42	11.95	8.4	6	1.9333	3.025	1	0	0	63	37	22	21	2.75	0	0	3.9333	0	0	0	0	38	40	18	20	4.7	1	0	1	0.48	0	0	0	77	43	24	28	7.95	9	5	8.6667	0.375	2.54	0	2.18	71	80	58	24	9.35	7.95	5	0	0.71	0	0	0	287	36.1	3.68	238	14.8	4.55	208	14.85	1	242	28.5667	5.7	3406	0.6794	0.669	1	0.5588	0.6622	0.7802	0.4615	0.7172	1	0.2769	0.3081	0.3509	-0.6045	2.6065	7.3438	1.8391	1.8872	1.7168	1.0417	0.8708	2009.843511
Diluted Magnetic Semiconductors	-0.5169	0.4089	4	99	105.5043	299	1054	935	854	19.8833	54.3429	42.78	45.7171	0	4	1	2	1379	1412	994	740	224.6333	264.4314	199.88	157.2971	23.1	40.79	25.47	20.61	870	729	568	545	66.4	72.1095	89.06	77.605	8.09	5	12.65	6.655	707	911	635	511	76.25	125.7095	101.46	72.88	7.59	12.26	11.04	5.09	277	370	196	117	11	14.55	9	6.4429	1	3	1	0	200	390	293	235	26	65.0762	55	52.0286	4	6.82	9.37	1.555	61	133	111	60	3	1.3429	6	1	0	0	1	0	1678	244.5167	23.1	2466	318.7743	44.79	1929	242.66	26.47	1594	203.0143	22.61	19235	0.8218	0.9187	1	0.5726	0.8295	0.9107	0.5153	0.8237	0.9622	0.4642	0.7748	0.9115	9.6396	13.5716	15.5333	15.9031	1.6751	2.5093	2.4554	2.5509	2010.136574
Distributed Storage Systems	1.3314	-0.1896	2	99	44.2131	59	32	283	888	0.05	3	24.6	102.537	0	0	0	9.3	149	127	331	617	25.05	15.8	62.2	100.3032	0.59	2.53	8.59	13.45	23	21	41	80	0	3	2	4	0	0	0	1	15	11	14	41	0	2	1	4.0203	0	0.63	0	0	48	136	242	364	5.05	15.8	7.9	11.1359	0.79	1.42	0	0	11	13	18	36	0	0.2	0	2.287	0	0	0	0	9	23	56	94	0	3	1	3.122	0	0.63	0	0	208	25.1	0.59	159	18.8	2.53	614	86.8	8.59	1505	202.8402	22.75	3796	0.7163	0.998	1	0.7987	0.8404	1	0.5391	0.7166	1	0.41	0.4945	0.5912	16.7273	3.0659	10.099	4.7096	0.396	1.9921	2.5952	1.1326	2014.699684
Dye-Sensitized Solar Cells	-1.0965	-0.228	1	99	82.762	191	707	3278	2732	0.4	60	398.1733	313.9683	0	5.4	48.615	37.125	165	339	956	784	18.9	58.4	157.1333	139.6808	1.49	7.33	14.875	12.87	335	459	727	484	40.3	38.5	69.46	41.7917	2	3.85	14	5.67	107	191	258	218	6	12	23.8	20.4117	1	1.24	4	3.37	60	410	1409	741	2	35.15	108.72	70.2358	0	0.4	3.245	5.19	74	134	259	252	13.6	23	32	33.8	0.24	0.24	4	6.37	4	239	779	466	1	22.15	75.92	56.8817	0	3	8.75	5.045	356	19.3	1.49	1046	118.4	12.73	4234	555.3067	63.49	3516	453.6492	49.995	22207	0.4635	0.9793	1	0.3241	0.4932	0.5758	0.2258	0.283	0.2343	0.223	0.3079	0.2574	11.2451	8.7406	4.2897	6.3242	0.903	1.3985	0.0729	0.2827	2013.900077
Electromigration	0.2245	-0.1094	3	99	127.4695	72	110	92	195	1	3.5	8	14.75	0	1	1	0	557	382	327	264	96.35	77.4333	63.26	52.05	10.66	10.77	8.35	6.78	219	216	121	79	11	15.8583	4.7	3.15	0	1	0	0	94	85	71	59	15.1	7	5	6.4	2	0	1	1	191	163	64	77	20.4	9	2	0.9	1.48	1	0	0	35	16	15	16	1	0	0	1.15	1	0	0	0	147	90	53	65	5.05	3.4	2	6.55	0	0	0	0.62	629	97.35	10.66	492	80.9333	11.77	419	71.26	9.35	459	66.8	6.78	4994	0.8855	0.9897	1	0.7764	0.9568	0.915	0.7804	0.8877	0.893	0.5752	0.7792	1	15.9091	17.0887	10.6499	12.1518	1.9138	1.9103	1.4666	2.5682	2008.927713
Electrostatic Discharge	1.0808	-0.0722	2	99	82.0515	5	40	71	167	2	5	10.95	19.4325	0	1.8	1.16	2.955	106	68	74	99	15.1	11.65	14.6333	9.7033	1.72	2.44	1.13	0.68	20	26	25	27	0	1	2.2	2	0	0	0	0	46	30	19	32	6.1	0.4	2	1.7333	0.93	0	0.59	1	9	26	31	42	0	1.7	1	10.8075	0	0	0	0.785	7	5	0	3	0	0	0	0	0	0	0	0	73	75	64	77	10.1	14.05	8.8333	9.1825	0.64	0	1.21	0	111	17.1	1.72	108	16.65	4.24	145	25.5833	2.29	266	29.1358	3.635	1421	0.955	0.883	1	0.6296	0.6997	0.5755	0.5103	0.572	0.4934	0.3722	0.333	0.1871	-25.7547	4.6324	4.3522	-1.8349	1.6226	-0.9118	-0.1068	-1.0826	2011.422238
Energy Harvesting	0.3859	-0.2796	2	99	113.7204	13	97	735	3922	1	6.1	151.6	660.2068	0	1	18.26	74.8067	130	340	840	1776	21.1	56.8	186	356.7689	3.72	5.85	23.69	56.2317	80	82	165	278	1.3	2	10	8.0366	0	0	1.47	0	11	43	80	183	1	3	3	6	0	1	0	0	25	48	332	1087	1	5	49.35	96.0261	0	0	3	3.6367	27	72	173	432	7.3	9	8	33.4352	0	2	0	3	2	42	95	212	0	6	7	17	0	0.22	0	5	143	22.1	3.72	437	62.9	6.85	1575	337.6	41.95	5698	1016.9758	131.0383	12259	0.9091	0.9548	1	0.778	0.903	0.854	0.5333	0.5509	0.5647	0.3117	0.3508	0.4291	8.5385	10.4172	1.517	3.2549	2.8615	0.6897	0.3359	1.2588	2016.479892
Error Estimates	0.8148	-0.2458	2	99	16.4764	508	867	1478	2542	33	53.4083	96.0714	184.6174	2	3	7.2	11.5425	1360	1477	1581	2203	256.8767	271.055	315.9429	356.0689	33.19	32.92	33.57	44.9608	162	124	134	169	6	9	39.3	41.3141	0	0	3	8.98	731	669	789	1039	83.6	90.2	101.9857	127.6537	8.15	10	5.16	14.1658	151	125	165	163	3	4	6.4	9	0	0	1	0	247	309	359	510	42.225	57.925	59.4	61.6256	3	4	5	5.5425	58	49	32	48	0	3	0	2	0	0	0	1	1868	289.8767	35.19	2344	324.4633	35.92	3059	412.0143	40.77	4745	540.6863	56.5033	25025	0.7281	0.8862	0.9432	0.6301	0.8354	0.9165	0.5168	0.7668	0.8234	0.4643	0.6585	0.7957	12.3919	12.1916	13.4836	8.9002	2.0467	1.8828	1.6362	1.5868	2011.704376
Exchange Bias	-0.1868	0.2871	4	99	118.4808	898	1244	1670	3221	26.3333	51.7	108.4933	332.5171	2	4	8	29.8983	3767	2731	2525	3225	604.7913	440.5514	410.6292	501.4951	70.13	42.58	44.5033	67.6517	2089	1620	1794	2443	192.3218	180.2971	255.7283	350.0958	24	34.52	32.64	38.285	1799	1475	1523	2059	264.7429	259.2381	275.895	375.8341	22.76	20.15	30.01	42.4767	693	659	619	709	27.1079	48.7	54.3075	71.081	2	2	3.9433	12.83	914	691	582	850	82.9456	79.4643	78.4667	148.2367	9	4	10.1	18	378	423	412	307	10	18.0833	8.3542	20.6099	1	1	1	2	4665	631.1246	72.13	3975	492.2514	46.58	4195	519.1225	52.5033	6446	834.0122	97.55	48906	0.8075	0.9583	0.9723	0.687	0.895	0.9141	0.6019	0.791	0.8476	0.5003	0.6013	0.6935	13.1225	11.9756	9.7659	5.2268	1.639	1.2376	1.2835	1.1695	2010.729583
Excitons	-0.4662	0.4731	4	99	93.0384	57	83	158	347	1	2	7	29.05	0	0	1	7.2567	309	325	326	535	54.6	46	46.1167	94.45	10.55	8	2.83	7.9833	224	179	184	170	20	11	13.9667	14	3	1	1.16	1	294	361	470	693	34	45.55	60.85	81.35	3.92	1	3.55	8.2567	5	6	21	78	0	0	2	5.9583	0	0	1	0	191	308	292	482	33.3	47.875	42.9667	54.2583	1	4.82	2	6.81	17	22	45	47	0	0	1	2	0	0	0	1	366	55.6	10.55	408	48	8	484	53.1167	3.83	882	123.5	15.24	7491	0.8443	0.982	1	0.7966	0.9583	1	0.6736	0.8682	0.7389	0.6066	0.7648	0.5238	15.9155	11.7442	9.7158	9.2824	3.4142	2.4615	0.2352	-0.599	2011.888132
FDTD	1.1692	-0.0454	2	99	71.3352	258	388	463	881	17.775	32.2	50.7833	105.186	1.25	2	7.3	12.985	556	400	275	291	85.2	71.75	49.5	39.639	8.13	5.52	3.26	1.035	123	80	104	78	9	4	4.7667	5.3625	1.45	0	0	1	100	80	63	76	9	11.9	6	11.7466	0.93	0	0	1	39	41	41	47	3	0	2.7667	7.1292	1	0	0	0.12	114	83	50	62	2.5	5	5	4	0	0.235	0	0.12	18	28	26	11	0	0	1	1	0	0	0	0	814	102.975	9.38	788	103.95	7.52	738	100.2833	10.56	1172	144.825	14.02	6608	0.683	0.8274	0.8667	0.5076	0.6902	0.734	0.3726	0.4936	0.3087	0.2483	0.2737	0.0738	8.4342	9.6385	7.0317	1.6823	0.9777	0.8645	-0.3912	-1.1182	2010.615617
Ferroeletrics	-0.3737	0.1453	3	99	113.8492	2762	3848	4435	6151	168.6517	289.9833	429.6617	938.0873	9	18.855	41.92	115.98	2368	1963	2286	2279	546.5827	432.9556	463.0983	349.2887	81.65	65.59	58.07	38.46	2439	1740	1237	1054	229.8169	152.7611	96.7183	71.3899	26.25	16	13	4	1108	877	862	925	143.9394	172.6667	164.8633	120.4164	15.25	24.51	30.09	7	1678	1140	976	812	82.45	96.1667	89	58.6849	6	6.615	12	4	573	586	583	670	105.7955	102.2333	123.0683	134.7974	7.4	7	29	23	528	427	224	158	19.1584	17.8944	18.3083	12	0	2	2	1	5130	715.2344	90.65	5811	722.9389	84.445	6721	892.76	99.99	8430	1287.376	154.44	54845	0.4616	0.7642	0.9007	0.3378	0.5989	0.7767	0.3401	0.5187	0.5808	0.2703	0.2713	0.249	16.9759	14.5199	10.57	0.0754	3.1222	2.8513	1.595	-0.198	2010.468757
Fiber Lasers	0.477	0.4055	5	99	61.2769	711	1993	3620	5064	36.7	109.7333	274.1542	556.3079	3	3.21	36.005	67.06	697	664	598	470	106.35	120.7333	89.2625	52.6773	13.15	15.09	7	8	416	337	269	268	38.15	41.95	31.9	26.6722	5.61	1.6	4	1	306	543	565	520	55.9417	84.6667	99.0208	80.1926	6.35	8	8.785	9	109	145	199	207	10	15	35	26.3609	0	1	2	3	292	337	370	362	37.275	55	86.7417	51.7648	2	8	13.76	3	152	148	253	152	14	10	20	5.6143	0	0	1	0	1408	143.05	16.15	2657	230.4667	18.3	4218	363.4167	43.005	5534	608.9853	75.06	25357	0.495	0.7434	0.8142	0.2499	0.5239	0.8246	0.1418	0.2456	0.1628	0.0849	0.0865	0.1066	10.0965	12.6768	7.3535	0.2224	1.4647	2.1115	0.176	0.3779	2012.231889
Focused Ion Beam	-0.0767	-0.2579	3	99	118.878	7	17	30	79	0	2	1	9.44	0	0	0	0	154	156	232	259	29.5	25.5	40	33.3933	3.28	2.43	3.23	4.65	169	172	79	87	8.3	2	3	2.1	0	0	0	0	100	97	114	231	5.7	7	13.6	36.06	0.92	0.44	1	2.7	8	28	21	44	0	0	1	6.44	0	0	0	1	63	70	72	97	5	13	9	23.44	0.15	1	3	2.29	8	7	9	11	0	0	0	0	0	0	0	0	161	29.5	3.28	173	27.5	2.43	262	41	3.23	338	42.8333	4.65	3239	0.9565	1	1	0.9017	0.9273	1	0.8855	0.9756	1	0.7663	0.7796	1	19.1558	4.5814	13.908	0.9438	2.1299	1.5577	1.3922	1.7954	2011.315529
GaAs	0.0859	0.0737	3	99	119.4263	704	608	577	571	30.9389	26.725	30.9339	78.3332	0	2.295	3	8.86	2206	1302	750	542	365.3344	200.0514	114.3589	119.9476	37.52	27.705	13.73	17.1633	1691	752	399	246	129.881	68.3586	31.2667	16.4995	15.505	2	4	2.4167	1722	840	584	350	272.4784	172.1804	123.672	45.0319	30.145	25.52	11.21	1	555	397	208	144	12.2556	13.98	7.1667	16.4642	0	1	1	2.4167	805	469	264	192	96.6698	73.2286	47.1387	39.4343	15.26	5	8.66	4.6	431	420	197	65	19.6389	12.725	11	4	0.26	0	1	0	2910	396.2733	37.52	1910	226.7764	30	1327	145.2929	16.73	1113	198.2808	26.0233	24023	0.7581	0.9219	1	0.6817	0.8822	0.9235	0.5652	0.7871	0.8207	0.487	0.6049	0.6595	12.1662	10.9694	9.8867	8.412	1.7008	1.7504	1.3107	1.615	2007.654748
GaN	0.1096	0.123	3	99	116.4931	73	83	206	411	3	1	14.38	37.0176	0	0	1	6.09	509	292	459	464	73.4167	46.7333	81.6467	71.8086	9.09	6.96	12.92	11.88	269	182	297	269	20.9667	12.2833	16.9333	19.951	1.63	0.71	1	3.37	260	177	147	211	35.0667	21	17.9	38.1443	0	2.36	2	6.55	47	14	42	93	0	1	2.38	16.8933	0	1	0	1	176	155	234	157	20.95	22.9	35.4533	19	2	1.17	2	1	65	67	70	43	1	0	1	1	0	0	0	0	4005	549.1495	73.15	3907	462.625	60.32	4618	600.5248	71.19	6051	784.1765	95.264	43455	0.7703	0.9189	0.9316	0.5869	0.8703	0.9668	0.4547	0.7423	0.8541	0.3669	0.5459	0.5491	11.5181	13.8414	15.0822	9.9875	1.6656	2.4195	2.4826	1.2352	2011.048004
Gainnas	-0.0543	0.058	3	99	117.2554	920	1614	2518	3831	44.5219	60	154.7433	356.0995	5	2	10.39	42.952	3085	2293	2100	2220	504.6276	402.625	445.7815	428.077	68.15	58.32	60.8	52.312	1940	1474	1213	1666	160.8786	183.55	128.6812	202.0227	14.83	23.02	18.5	22.372	1093	837	979	888	132.56	125.9	134.6479	106.0455	16.49	7.24	4.78	6.74	928	926	1324	990	57.8786	60.7	88.7833	55.8988	3	6	6	8.822	568	397	424	456	48.2667	56.875	62.9467	54.998	3	2.41	3	3.18	710	1269	1195	738	60.9452	77.025	64.78	51.8361	2	4	2.39	10.65	582	76.4167	9.09	375	47.7333	6.96	665	96.0267	13.92	875	108.8263	17.97	7197	0.8746	0.9607	1	0.7787	0.9791	1	0.6902	0.8502	0.9282	0.5303	0.6598	0.6611	10.3141	14.7997	10.8074	6.4693	1.7859	2.3836	2.3294	1.0786	2011.407809
Graphene	-0.7845	0.1518	1	99	112.8829	61	964	7563	11481	2.5	107	808.8828	1378.2608	0	8.94	82.51	128.2475	91	1878	5237	5114	15.2	299.6333	813.3049	850.4569	1.26	36.87	109.73	154.4355	138	538	1638	2091	12.9	20.0333	142.5857	312.4465	0.26	5	26	84.9815	68	524	1507	1832	7.8	45.3	186.6956	274.2936	0	4.63	16	31.125	10	270	2398	2372	2	28.2667	266.8992	254.4978	0	4	27	31	23	314	1075	1643	9	51.9	175.1457	295.4633	2.8	7.63	29.56	36.3415	16	123	667	670	0	7	63.0571	42.6201	0	1	3	1	152	17.7	1.26	2842	406.6333	45.81	12800	1622.1877	192.24	16595	2228.7178	282.683	62936	0.5987	0.8588	1	0.6608	0.7369	0.8048	0.4091	0.5014	0.5708	0.3082	0.3816	0.5463	12.6049	4.8553	4.8347	4.6253	1.3846	1.0359	1.0043	1.9028	2015.414866
Graphite Intercalation Compounds	-0.9933	0.0111	1	99	93.9321	21	58	42	98	3	6	5.9	25.35	0.66	1.21	0	2.87	52	45	43	56	3.25	7.5	9.7	9.6	0	1.66	1.4	0.75	147	37	25	50	26.6	2	0.2	2.9	2.72	0	0	0	19	15	10	18	2	5.2	2	0	0.95	0	0.44	0	11	3	8	12	1	1	1	0.25	0	0	0	0	5	22	8	7	2	2.3	1	1	0.53	0	0	0.7	1	2	0	5	0	0	0	0	0	0	0	0	73	6.25	0.66	103	13.5	2.87	85	15.6	1.4	154	34.95	3.62	1410	0.7123	0.52	0	0.4369	0.5556	0.5784	0.5059	0.6218	1	0.3636	0.2747	0.2072	-8.0357	6.3218	8.5105	-8.7245	-3.1429	1.6027	3.2558	-1.5893	2009.597163
Heterojunction Bipolar Transistors	0.8343	0.0218	2	99	104.2501	61	51	107	237	0	0.6	4.075	20.3683	0	0	0.55	4.05	468	218	141	177	81.6733	33.8667	24.275	36.2783	7.72	4.14	3.94	2.8	120	58	43	38	10	5	8.175	5.1667	2	0	1.31	0	117	54	40	47	9.7667	7	6.075	1.5333	1	0.79	1	0.96	84	40	7	17	7	3.3667	0	2	1	1	0	0	110	48	57	77	11.2533	12.6	11.5	10.1392	0	2.69	0	0.69	143	124	40	22	7	3	1	1	0	0	0	0	529	81.6733	7.72	269	34.4667	4.14	248	28.35	4.49	414	56.6467	6.85	3652	0.8847	1	1	0.8104	0.9826	1	0.5685	0.8563	0.8775	0.4275	0.6404	0.4088	17.4516	14.3587	13.4079	11.902	1.6496	1.8991	2.2803	-0.1269	2008.77218
HgCdTe	0.1588	0.2131	3	99	122.5446	122	243	344	510	4	9.0333	15.5833	31.3365	0	0	2	4.89	439	459	585	432	79.5733	96.6917	107.4167	85.7488	10	14.03	9.61	10.6233	160	74	58	70	19.3667	8.2333	1.9	3	1.34	0	0	0	107	55	39	59	16.8	11	3	11.6752	1.21	0.14	0	1	72	49	45	45	1	3	2.7333	2.9788	0	0	0.36	0.5267	120	77	59	74	13.1867	4.175	3	13.8248	1	0	1	1.2633	9	7	8	15	0	0	0	1.3625	0	0	0	0	561	83.5733	10	702	105.725	14.03	929	123	11.61	942	117.0853	15.5133	6834	0.7825	0.9521	1	0.6538	0.9146	1	0.6297	0.8733	0.8277	0.4586	0.7324	0.6848	14.8474	17.3483	13.8318	13.7049	2.2779	3.0566	1.0613	1.5003	2010.487123
Ideality Factor	-0.0319	-0.124	3	99	123.5507	61	47	47	67	7	2	1	2	1	0	0.51	0	178	99	98	79	18	3	10.06	1	2.26	0	2	0	199	66	31	31	9.2	0.2	2	0	1	0	0	0	116	33	28	29	15.35	0	1	0	0.49	0	0	0	63	20	68	73	2	2	10.2533	2.0333	0	1.08	1	0	49	25	15	31	2	2	0	0	1	0	0	0	47	39	31	15	1.125	0	0	0	0	0	0	0	239	25	3.26	146	5	0	145	11.06	2.51	146	3	0	4571	0.7448	0.72	0.6933	0.6781	0.6		0.6759	0.9096	0.7968	0.5411	0.3333		-1.3631	-1.225	8.1376	-1.7193	-0.3697	0	0.9557	0	2010.493546
Lithography	0.4785	0.1541	5	99	99.3639	47	108	180	264	3	11	21.0333	29.3905	0	0	1.41	3.935	825	676	409	333	119.8933	98.2	50.8833	44.4267	11.99	10.41	8.27	6.79	617	481	324	232	45.78	49.0667	19.0333	11.0838	4	6.67	1.01	0	121	106	89	71	12	12.2	12	10.5943	1	0.54	2	0	168	172	126	114	11.8333	7.1	1	3.3143	1	1	0	0.57	60	48	22	17	6.26	7.9667	1	5	1	0.54	0	0	107	62	60	41	4	4	6	2	2	0	0	0	872	122.8933	11.99	784	109.2	10.41	589	71.9167	9.68	597	73.8171	10.725	6260	0.9461	0.9756	1	0.8622	0.8993	1	0.6944	0.7075	0.8543	0.5578	0.6018	0.6331	8.1495	4.3414	0.7557	2.2086	1.4533	1.5399	1.2387	0.5485	2009.098083
Low Frequency Noise	0.513	-0.0539	2	99	119.6611	28	17	12	122	1.1	0	0	11.32	0	0	0	1.42	72	43	18	99	8.15	5	0	10.34	1.32	1.79	0	1.3	35	3	6	30	2	1	0	0	0	0	0	0	38	19	18	37	3.05	2	1	2.63	0	0.47	0	1	5	2	6	85	0	0	0	7.66	0	0	0	0	14	7	3	18	0	1	0	1.83	0	0	0	0	7	4	4	41	0	0	0	3.66	0	0	0	0	100	9.25	1.32	60	5	1.79	30	0	0	221	21.66	2.72	1821	0.72	0.8811	1	0.7167	1	1	0.6			0.448	0.4774	0.4779	7.3909	11.6279	0	1.1658	1.8333	4.1628	0	0.1492	2013.121911
MEMS	0.7435	-0.0732	2	99	102.703	427	781	1217	1394	18.225	42.6919	58.4857	93.1272	1.78	1	6	6.78	2339	2020	1698	1151	425.3917	358.1697	276.325	198.5458	53.61	50.37	25.71	31.945	1081	988	786	540	66	75.2724	58.4875	47.9166	3.43	8	5	4.67	408	530	408	373	46.95	59.1194	61.111	106.3187	7	2	24	24.105	723	920	860	1128	29.2	48.8141	68.4759	104.9566	2	4	9.11	17.525	291	383	267	168	30.225	59.6611	39.5714	20.9655	5.97	5	1	4	573	941	873	598	23	43.5141	38.2139	35.0498	1	1	2	2	1678	237.2	27.4	2041	278.5332	36.03	1997	238.0886	28.045	2320	269.0688	27.625	17948	0.8433	0.941	0.927	0.7286	0.909	1	0.5333	0.7642	0.9988	0.3263	0.3992	0.4664	10.4507	12.4538	11.0596	3.8458	1.0346	2.423	2.6263	0.7591	2011.088868
MOSFET	0.6038	-0.0569	2	99	115.5646	136	191	1296	12078	17	21.4	113.1	1397.5096	3	1	13	159.67	150	189	1399	5366	28.6	34.325	246.5	850.0789	2.52	6.82	21.94	127.1825	191	87	254	1477	11.2	9.025	35.2	220.4236	0	0	4	37.1825	175	127	303	1482	20	21.05	28	196.7166	0.32	1.27	2	12.0125	21	28	324	2193	1	4	31	210.6612	0	1.23	7	17.025	91	53	175	1006	20.1	7	23	138.6049	1.32	0	6.29	18	26	28	147	682	1	1	36	68.0205	0	0	2	10	2766	443.6167	55.39	2801	400.8615	51.37	2915	334.8107	31.71	2545	291.673	38.725	31929	0.8456	0.9589	0.9679	0.7212	0.8935	0.9805	0.5825	0.8253	0.8108	0.4523	0.6807	0.8249	13.9188	12.2649	11.4678	10.5693	1.8751	2.3655	1.0211	2.289	2010.486611
Magnetic Nanoparticles	-0.8242	-0.2968	1	99	102.4716	263	554	932	1563	14	25.3371	56.1457	161.66	2	0	0.035	14.74	1415	1487	1065	757	223.2	253.1961	181.9429	107.4088	25.4	36.03	28.01	12.885	336	336	315	303	19.1	19.3286	19.8429	19.5397	1	1	2	2	223	210	230	189	9	14.8125	25.3257	16.8138	0	0.11	4.035	0	234	332	295	220	13	14.3917	14.04	8.4069	0.48	0	2	1	150	206	181	185	7.6	21.8125	24.24	35.3265	1	1	1.035	6	207	310	228	141	7.6	9.6571	10.94	10.7819	0	0	0	0	1068	183.55	20.14	2768	397.2048	46.905	4397	679.47	89.185	7583	1359.0612	140.4	33555	0.6386	0.7875	0.8014	0.4581	0.6164	0.6796	0.3678	0.382	0.2917	0.2053	0.1503	0.1237	11.0914	9.1526	0.9443	-6.0404	1.3303	1.5118	-0.6635	-0.926	2013.498227
Metal-Organic Frameworks	-1.3435	-0.1837	1	99	50.3793	386	1500	2780	6026	39	152.3571	419.94	1154.747	4	15.03	63.17	123.03	682	1268	1617	1557	144.55	244.8476	259.53	204.3142	16.14	31.875	26.015	17.37	296	472	469	443	10.6	19	14	10.6419	0	0	0	3	410	544	710	837	31.7	56	58.8	40.2839	3.03	7.63	3	2	145	417	532	579	17	53.9667	51.35	28.7639	5.81	11.29	7	2	123	208	275	395	23	18	29.98	24.8139	0	1	2	0	73	192	280	245	5	19.7571	25.18	12.48	0	0	3	1	295	49.55	6.53	1106	151.05	21.69	6063	796.3	88.065	20444	2601.0506	298.22	43426	0.7153	0.9193	1	0.6709	0.7815	0.8156	0.3581	0.4908	0.6282	0.2074	0.2768	0.294	16.8258	6.8438	7.5857	5.3737	3.0948	1.2852	1.7072	0.7686	2016.637475
Metamaterials	0.5501	0.0919	5	99	109.7076	84	364	3892	16204	4	33	405.45	1881.0128	0	4	32.74	210.54	211	742	2171	4240	45.55	118.05	390.85	720.0378	6.53	17.69	55.325	87.68	72	172	559	965	6	19	91.85	100.193	0	0	11.75	12	45	222	827	1428	5.5	29.9	81	161.999	0	2	8	18.25	58	200	654	1434	5	17	66	129.8167	1	3.03	7	9.97	50	198	639	1350	6.05	25.15	73.425	153.5285	1	1	7	17	13	23	140	352	0	1	8	32	0	0	1	3.25	808	113.7667	14.63	2913	387.0833	42.14	4956	651.975	78.01	11391	1441.9647	162.73	33619	0.7191	0.9209	1	0.4827	0.7421	0.8678	0.3981	0.5921	0.6729	0.2502	0.3727	0.512	14.0674	13.8079	10.652	8.2672	2.5181	2.2314	1.8049	1.9938	2014.666885
