id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<China NP period1>	weight<China NP period2>	weight<China NP period3>	weight<China NP period4>	weight<China NP R10 period1>	weight<China NP R10 period2>	weight<China NP R10 period3>	weight<China NP R10 period4>	weight<China NP R001 period1>	weight<China NP R001 period2>	weight<China NP R001 period3>	weight<China NP R001 period4>	weight<USA NP period1>	weight<USA NP period2>	weight<USA NP period3>	weight<USA NP period4>	weight<USA NP R10 period1>	weight<USA NP R10 period2>	weight<USA NP R10 period3>	weight<USA NP R10 period4>	weight<USA NP R001 period1>	weight<USA NP R001 period2>	weight<USA NP R001 period3>	weight<USA NP R001 period4>	weight<Japan NP period1>	weight<Japan NP period2>	weight<Japan NP period3>	weight<Japan NP period4>	weight<Japan NP R10 period1>	weight<Japan NP R10 period2>	weight<Japan NP R10 period3>	weight<Japan NP R10 period4>	weight<Japan NP R001 period1>	weight<Japan NP R001 period2>	weight<Japan NP R001 period3>	weight<Japan NP R001 period4>	weight<Germany NP period1>	weight<Germany NP period2>	weight<Germany NP period3>	weight<Germany NP period4>	weight<Germany NP R10 period1>	weight<Germany NP R10 period2>	weight<Germany NP R10 period3>	weight<Germany NP R10 period4>	weight<Germany NP R001 period1>	weight<Germany NP R001 period2>	weight<Germany NP R001 period3>	weight<Germany NP R001 period4>	weight<South Korea NP period1>	weight<South Korea NP period2>	weight<South Korea NP period3>	weight<South Korea NP period4>	weight<South Korea NP R10 period1>	weight<South Korea NP R10 period2>	weight<South Korea NP R10 period3>	weight<South Korea NP R10 period4>	weight<South Korea NP R001 period1>	weight<South Korea NP R001 period2>	weight<South Korea NP R001 period3>	weight<South Korea NP R001 period4>	weight<United Kingdom NP period1>	weight<United Kingdom NP period2>	weight<United Kingdom NP period3>	weight<United Kingdom NP period4>	weight<United Kingdom NP R10 period1>	weight<United Kingdom NP R10 period2>	weight<United Kingdom NP R10 period3>	weight<United Kingdom NP R10 period4>	weight<United Kingdom NP R001 period1>	weight<United Kingdom NP R001 period2>	weight<United Kingdom NP R001 period3>	weight<United Kingdom NP R001 period4>	weight<Taiwan NP period1>	weight<Taiwan NP period2>	weight<Taiwan NP period3>	weight<Taiwan NP period4>	weight<Taiwan NP R10 period1>	weight<Taiwan NP R10 period2>	weight<Taiwan NP R10 period3>	weight<Taiwan NP R10 period4>	weight<Taiwan NP R001 period1>	weight<Taiwan NP R001 period2>	weight<Taiwan NP R001 period3>	weight<Taiwan NP R001 period4>	weight<NP focus2 sum period1>	weight<NP R10 focus2 sum period1>	weight<NP R001 focus2 sum period1>	weight<NP focus2 sum period2>	weight<NP R10 focus2 sum period2>	weight<NP R001 focus2 sum period2>	weight<NP focus2 sum period3>	weight<NP R10 focus2 sum period3>	weight<NP R001 focus2 sum period3>	weight<NP focus2 sum period4>	weight<NP R10 focus2 sum period4>	weight<NP R001 focus2 sum period4>	weight<NP ALL>	score<ratio NP period1>	score<ratio NP R10 period1>	score<ratio NP R001 period1>	score<ratio NP period2>	score<ratio NP R10 period2>	score<ratio NP R001 period2>	score<ratio NP period3>	score<ratio NP R10 period3>	score<ratio NP R001 period3>	score<ratio NP period4>	score<ratio NP R10 period4>	score<ratio NP R001 period4>	score<diff top10 period1>	score<diff top10 period2>	score<diff top10 period3>	score<diff top10 period4>	score<diff top1 period1>	score<diff top1 period2>	score<diff top1 period3>	score<diff top1 period4>	score<avgyr>
C-60	-1.1633	-0.0164	1	99	75.883	857	794	770	914	33	62.9333	77.5143	126.8743	4	5.72	7.99	10.395	933	697	563	446	216.7	162.6917	113.0943	65.7167	27.91	17.24	13.1	6.2517	1233	802	656	423	176.525	124.6833	107.6621	55.1109	24.23	13	13.71	5.955	532	466	338	287	82.165	77.7667	59.4693	57.9623	3	5	3	5.7817	87	91	122	88	8	10	27	14.6823	1	1	3.62	0.415	342	180	112	108	26.525	21.2667	13.7571	12.3464	1	5	1	3.2967	107	61	73	51	13	5	4	7	0	0	0	1	1790	249.7	31.91	1491	225.625	22.96	1333	190.6086	21.09	1360	192.591	16.6467	16916	0.5212	0.8678	0.8746	0.4675	0.7211	0.7509	0.4224	0.5933	0.6211	0.3279	0.3412	0.3756	19.3755	15.4156	10.021	0.8535	2.5247	1.7531	1.2892	0.2644	2009.076023
CIGS	-0.5334	0.0678	3	99	116.3166	32	50	91	119	0	4	1.9	7.3	0	0	1	1	263	207	161	149	57.6583	43	20.35	14.3	6.09	6.19	3.53	2.67	115	61	66	68	5.65	3.75	0.35	1	0	0	0	0	61	37	50	64	1.85	3	4	4	0	0	0	1	17	26	10	14	0.0333	2	0	6	0	0.64	0	0.4475	80	91	74	58	6.0333	9	6.7	4	1	0.85	1	1.17	2	11	12	19	0	1	0	5.5333	0	0	0	0.4475	676	108.82	14.57	855	151	23.04	2222	318.9889	41.87	2804	400.7116	61.44	22341	0.7308	0.8079	1	0.5053	0.649	0.7882	0.41	0.6344	0.7944	0.3559	0.4156	0.3258	6.3141	10.1556	13.318	3.7235	2.9494	3.05	2.9942	-0.2875	2012.740343
CMOS Image Sensor	1.0057	0.0528	2	99	87.2219	168	396	573	889	11	12.68	55.6929	90.6841	0	0	3.545	8.15	355	518	454	470	86.45	121.75	89.4762	77.1667	12.96	10.86	8.645	15.49	609	421	265	225	46.025	28.3	31.5	19.6	4.15	2	3.575	0	167	144	194	265	31	29.15	54.8143	85.4667	3	7	12	14.16	166	373	222	176	14.625	31.81	14.25	11.7	1	1.86	0.77	0.73	144	95	124	195	17	18.5	27.25	59.9175	1	4	5.18	11.34	100	106	72	23	3	7	4.2667	0	0	1	0	0	209	27.1	3.04	253	24.1	1.43	399	41.65	5.28	822	80.0568	9.12	4160	0.8708	0.9631	1	0.7075	0.8755	1	0.5013	0.7935	1	0.3297	0.7122	0.8607	10.637	7.7337	12.2034	16.8574	1.6703	0.7989	2.64	2.6662	2012.754327
Carbon Dots	-1.2235	-0.1819	1	99	64.4902	182	423	1311	1806	20.9	53	116.6222	234.1561	0	4.88	8.61	41.42	494	432	911	998	87.92	98	202.3667	166.5555	14.57	18.16	33.26	20.02	438	208	468	434	39.625	34.15	50.6222	57.4759	8	5.15	8.61	14.53	595	339	565	544	76.31	41.5	72.1889	73.6928	6.16	2.15	15	12.53	144	220	695	704	7.9	20.65	63.1222	80.4942	1	0	4	12.53	175	112	212	342	18	20	47.1222	53.6977	0	4	6.5	9.53	34	74	376	213	3.9	3	10.7722	10.6	0	0	0	1	25	4.3	0.43	247	35.9	3.5	2266	277.2	33.2	8335	991.5021	119.45	15533	0.92	1	1	0.7247	0.6379	0.4914	0.248	0.2092	0.2133	0.1457	0.1648	0.2213	18.6957	-6.3244	-2.5436	1.8314	1.8696	-1.6568	-0.2731	0.8708	2017.566793
Carbon Nanotubes	-0.6369	-0.2453	1	99	115.2089	27	74	199	551	1	3	8.6	23.0409	0	0	0	1.27	182	179	200	271	26.1	21.1	33.05	57.0159	3.04	1.43	5.28	7.85	120	106	88	135	7.1	8.3	14.15	11.975	0	0	0	1	33	25	40	63	5	3.8667	11	14.7932	0	0.64	2.23	1	31	77	77	115	1	2	5	10.4386	0	0	0.01	0	56	83	78	131	4	17.0667	16.95	42.5386	0.82	1.96	2.92	4.59	25	20	24	41	1	0	0	2.4386	0	0	0	0	5108	725.5167	79.75	8428	1075.4469	120.84	6585	886.7195	106.145	4919	645.1442	77.8733	55800	0.628	0.8723	0.8888	0.5364	0.7008	0.7683	0.4881	0.6223	0.7399	0.4015	0.4676	0.4854	14.8535	8.4345	7.235	3.6057	1.7426	1.3369	1.6248	0.5529	2010.62095
Cellular Automata	0.8364	-0.137	2	99	66.7741	2	68	1704	7121	0	13	219.2	828.0937	0	1.78	26.12	93.02	23	179	562	1214	4.3	22.9	58	163.4084	0.43	1.72	7.08	26.43	12	46	140	327	1.7	1.5	12	35	0.17	0	1.2	2	5	34	90	225	0	3	5	17.8149	0	0	0	3	0	8	116	481	0	0	14	68.2381	0	0	0.09	5	4	6	41	168	0	0	7	21	0	0	1.2	3	0	24	142	310	0	1.8	7	28.2149	0	0	0	1	295	57.6583	6.09	257	47	6.19	252	22.25	4.53	268	21.6	3.67	3933	0.8915	1	1	0.8054	0.9149	1	0.6389	0.9146	0.7792	0.556	0.662	0.7275	21.9233	12.7729	10.5518	3.4629	2.3156	2.9903	1.0936	0.9516	2011.148741
Chalcogenide Glasses	-0.2102	0.0746	3	99	124.0047	1900	3907	3371	2944	92.625	321.7781	334.8921	343.4958	8.87	28	27.605	40.0717	3208	4521	3214	1975	632.8917	753.6688	551.8274	301.6484	70.88	92.84	78.54	37.8017	1784	2164	1480	962	101.25	167.0696	130.4404	69.5291	6.55	10.535	13.61	8	676	1057	852	653	88	154.8096	132.3604	104.7083	14	14	11	12.17	832	1480	1255	879	46	88.5442	109.2977	125.6671	2	5.24	9	20.45	517	853	684	530	67.625	125.3692	97.9626	82.9509	5	9.875	7	8	296	673	393	162	6.625	45	9.64	6.8875	0	4	1	1	523	97.45	12.96	914	134.43	10.86	1027	145.169	12.19	1359	167.8508	23.64	13302	0.6788	0.8871	1	0.5667	0.9057	1	0.4421	0.6164	0.7092	0.3458	0.4597	0.6552	17.8045	20.3018	9.9889	6.2178	3.6507	2.0965	1.2855	2.379	2010.779432
Cu2O	-0.7658	-0.1521	1	99	114.9126	116	395	749	933	20.95	41.95	59.3167	85.0238	0.34	6.2	2.57	11.45	111	119	197	254	13	22.9833	35.5833	28	2.8	2	3.69	3	117	97	144	191	7	4.65	13	16.5929	0.67	0	3.08	2	29	26	70	128	0.7	1	11	7	0	0	3.69	1	20	77	174	210	0	6	10	29.9952	0	0	1.47	1	15	26	61	103	0	3	14	17.95	0	0	0.76	2.35	13	50	121	148	1	8	19	28.2143	0	2.07	3	2.78	227	33.95	3.14	514	64.9333	8.2	946	94.9	6.26	1187	113.0238	14.45	6962	0.489	0.3829	0.8917	0.2315	0.354	0.2439	0.2082	0.375	0.5895	0.214	0.2477	0.2076	-6.3486	8.6935	10.1432	1.9107	2.2294	0.1111	1.53	-0.0461	2014.346883
DC-DC Converter	1.35	-0.0646	2	99	62.0275	154	299	851	2392	21.9	40.2667	112.5167	272.6081	3.49	2	12.75	31.795	327	465	680	1035	60.2	74.4667	128.3	183.1435	7.08	7.89	16.36	22.385	133	86	120	228	5	7	10	9.2729	1	2	1	0	23	36	49	110	1	5.1667	2	18.5542	0.85	1	0	2	106	193	445	641	5.8	8	30.55	45.2145	0	0	2	1.245	50	42	84	258	0	3	9	39.0699	0	1	0	3.165	109	359	561	496	7	21.1	34.75	18.1762	1.75	2	0	0	481	82.1	10.57	764	114.7333	9.89	1531	240.8167	29.11	3427	455.7515	54.18	15483	0.6798	0.7333	0.6698	0.6086	0.649	0.7978	0.4442	0.5328	0.562	0.302	0.4018	0.4132	4.189	2.5472	5.6459	6.2984	-0.1011	1.0279	0.9076	0.8336	2014.450817
Deep Level Transient Spectroscopy	-0.1318	0.1861	3	99	117.0243	254	204	119	164	11	6	7	32.2569	1	0	2	6.22	820	421	210	137	145.7971	84.0867	31.3143	14.5904	9.06	8.89	3.6	2.16	811	271	172	162	35.2549	18.975	18.2643	14.4658	2	1.18	1.77	1.06	696	333	183	161	94.1652	59.31	28.7893	16.836	8.72	10.875	3	3.06	110	73	47	46	3	1	2.6571	2.7235	1	0	0.6	0	372	234	109	73	58.694	45.1333	30.5571	9.8447	12.2	7.035	6.495	2.33	48	42	52	27	3	1.7	1.6571	1.287	0	0	0	0	1074	156.7971	10.06	625	90.0867	8.89	329	38.3143	5.6	301	46.8473	8.38	9750	0.7635	0.9298	0.9006	0.6736	0.9334	1	0.6383	0.8173	0.6429	0.4551	0.3114	0.2578	13.4494	17.0319	9.0292	-9.0189	0.7112	2.1116	0.0336	-2.216	2007.111795
